Name,Property Details,Timestamp,Percent Funded,Address,Purchase Price,Ttl Prop. Amt,Share $ Avail.,Ttl Shares,Investors,Rent Ready Date,Rental Status,Mo. Rent,Div Date,1st Div Yield,Ann. Equity Return,Ann. Div Yield,Hypoth. Ann. Return,Prop. Leverage,IPO Shareprice,AirDNA Market Grade
The Cardinal,"BED: 6    BATH: 4    SQ FT: 4,108    YEAR BUILT: 2001",2022-09-09 10:29:55,63% FUNDED,"Address: 6085 N. 85th Avenue, Glendale, AZ 85305","$744,000 ","$978,326 ","$240,380 ","66,585",788,DECEMBER 2022,,,,,10.00%,4.00%,14.00%,42%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-cardinal.png
The Quincy,"BED: 3    BATH: 2    SQ FT: 1,936    YEAR BUILT: 2020",2022-09-08 16:49:00,56% FUNDED,"Address: 27003 East Archer Avenue, Aurora, CO 80018","$550,000 ","$630,062 ","$276,940 ","63,007",656,,SEEKING TENANT,"$2,895 ",JANUARY 2023,3.2% / YEAR,2.80%,3.20%,6.00%,0%,$10 ,
The Quincy,"BED: 3    BATH: 2    SQ FT: 1,936    YEAR BUILT: 2020",2022-09-09 10:30:41,56% FUNDED,"Address: 27003 East Archer Avenue, Aurora, CO 80018","$550,000 ","$630,062 ","$271,240 ","63,007",673,,SEEKING TENANT,"$2,895 ",JANUARY 2023,3.2% / YEAR,2.80%,3.20%,6.00%,0%,$10 ,
The Mirage,"BED: 4    BATH: 2    SQ FT: 1,666    YEAR BUILT: 2005",2022-09-09 10:30:06,54% FUNDED,"Address: 62432 Golden Street, Joshua Tree, CA 92252","$629,900 ","$846,341 ","$387,750 ","84,635",722,DECEMBER 2022,,,,,5.30%,4.00%,9.30%,0%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-mirage.png
The Winston,"BED: 3    BATH: 2    SQ FT: 1,750    YEAR BUILT: 2018",2022-09-09 10:30:47,51% FUNDED,"Address: 8304 Stillwater Circle Northwest, Huntsville, AL 35806","$329,000 ","$381,732 ","$186,000 ","38,174",400,,SEEKING TENANT,"$1,695 ",JANUARY 2023,3.2% / YEAR,4.30%,3.20%,7.50%,0%,$10 ,
The Winston,"BED: 3    BATH: 2    SQ FT: 1,750    YEAR BUILT: 2018",2022-09-08 16:49:05,50% FUNDED,"Address: 8304 Stillwater Circle Northwest, Huntsville, AL 35806","$329,000 ","$381,732 ","$187,800 ","38,174",393,,SEEKING TENANT,"$1,695 ",JANUARY 2023,3.2% / YEAR,4.30%,3.20%,7.50%,0%,$10 ,
The Creekwood,"BED: 3    BATH: 2    SQ FT: 1,658    YEAR BUILT: 2012",2022-09-09 10:30:52,43% FUNDED,"Address: 361 Harbor Glen Drive Southwest, Madison, AL 35756","$289,500 ","$338,884 ","$110,140 ","19,413",188,,SEEKING TENANT,"$1,695 ",JANUARY 2023,2.0% / YEAR,7.70%,2.00%,9.70%,50%,$10 ,
The Creekwood,"BED: 3    BATH: 2    SQ FT: 1,658    YEAR BUILT: 2012",2022-09-08 16:49:11,42% FUNDED,"Address: 361 Harbor Glen Drive Southwest, Madison, AL 35756","$289,500 ","$338,884 ","$112,240 ","19,413",181,,SEEKING TENANT,"$1,695 ",JANUARY 2023,2.0% / YEAR,7.70%,2.00%,9.70%,50%,$10 ,
The Richardson,"BED: 3    BATH: 2    SQ FT: 1,665    YEAR BUILT: 2020",2022-09-09 10:30:58,38% FUNDED,"Address: 531 Arkansas Black, Bentonville, AR 72712","$315,000 ","$368,794 ","$228,340 ","36,880",341,,SEEKING TENANT,"$1,695 ",OCTOBER 2022,3.2% / YEAR,2.00%,3.20%,5.20%,0%,$10 ,
The Cardinal,"BED: 6    BATH: 4    SQ FT: 4,108    YEAR BUILT: 2001",2022-09-08 16:48:20,37% FUNDED,"Address: 6085 N. 85th Avenue, Glendale, AZ 85305","$744,000 ","$978,326 ","$418,700 ","66,585",451,DECEMBER 2022,,,,,10.00%,4.00%,14.00%,42%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-cardinal.png
The Richardson,"BED: 3    BATH: 2    SQ FT: 1,665    YEAR BUILT: 2020",2022-09-08 16:49:16,37% FUNDED,"Address: 531 Arkansas Black, Bentonville, AR 72712","$315,000 ","$368,794 ","$231,840 ","36,880",333,,SEEKING TENANT,"$1,695 ",OCTOBER 2022,3.2% / YEAR,2.00%,3.20%,5.20%,0%,$10 ,
The Mirage,"BED: 4    BATH: 2    SQ FT: 1,666    YEAR BUILT: 2005",2022-09-08 16:48:27,36% FUNDED,"Address: 62432 Golden Street, Joshua Tree, CA 92252","$629,900 ","$846,341 ","$533,550 ","84,635",487,DECEMBER 2022,,,,,5.30%,4.00%,9.30%,0%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-mirage.png
The Orchard,"BED: 3    BATH: 3    SQ FT: 2,912    YEAR BUILT: 2013",2022-09-09 10:30:15,34% FUNDED,"Address: 109 Jonagold Lane, Blue Ridge, GA 30513","$550,000 ","$832,773 ","$547,190 ","83,278",548,DECEMBER 2022,,,,,5.70%,4.80%,10.50%,0%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-orchard.png
The Orchard,"BED: 3    BATH: 3    SQ FT: 2,912    YEAR BUILT: 2013",2022-09-08 16:48:37,24% FUNDED,"Address: 109 Jonagold Lane, Blue Ridge, GA 30513","$550,000 ","$832,773 ","$627,280 ","83,278",393,DECEMBER 2022,,,,,5.70%,4.80%,10.50%,0%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-orchard.png
The Braxton,"BED: 4    BATH: 3    SQ FT: 1,436    YEAR BUILT: 2000",2022-09-08 16:49:21,23% FUNDED,"Address: 10020 Braxton Drive, Union, KY 41091","$323,500 ","$380,134 ","$290,130 ","38,014",267,,SEEKING TENANT,"$1,695 ",JANUARY 2023,3.2% / YEAR,2.20%,3.20%,5.40%,0%,$10 ,
The Braxton,"BED: 4    BATH: 3    SQ FT: 1,436    YEAR BUILT: 2000",2022-09-09 10:31:04,23% FUNDED,"Address: 10020 Braxton Drive, Union, KY 41091","$323,500 ","$380,134 ","$289,430 ","38,014",270,,SEEKING TENANT,"$1,695 ",JANUARY 2023,3.2% / YEAR,2.20%,3.20%,5.40%,0%,$10 ,
The Taylor,"BED: 3    BATH: 2    SQ FT: 1,447    YEAR BUILT: 2004",2022-09-09 10:31:09,22% FUNDED,"Address: 2209 44th Avenue, Northport, AL 35476","$230,000 ","$274,887 ","$124,360 ","15,989",126,,SEEKING TENANT,"$1,395 ",JANUARY 2023,2.4% / YEAR,4.70%,2.40%,7.10%,50%,$10 ,
The Taylor,"BED: 3    BATH: 2    SQ FT: 1,447    YEAR BUILT: 2004",2022-09-08 16:49:26,21% FUNDED,"Address: 2209 44th Avenue, Northport, AL 35476","$230,000 ","$274,887 ","$126,160 ","15,989",121,,SEEKING TENANT,"$1,395 ",JANUARY 2023,2.4% / YEAR,4.70%,2.40%,7.10%,50%,$10 ,
The Ace,"BED: 5    BATH: 3    SQ FT: 2,467    YEAR BUILT: 1979",2022-09-08 16:48:44,100% FUNDED,"Address: 14249 N. 49th Street, Scottsdale, AZ 85254","$1,050,000 ","$1,334,011 ","$893,020 ","89,302",1016,DECEMBER 2022,,,,,12.60%,5.20%,17.80%,42%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-ace.png
The Oasis,"BED: 4    BATH: 4    SQ FT: 1,772    YEAR BUILT: 2020",2022-09-08 16:48:54,100% FUNDED,"Address: 964 Youngs Lane, Nashville, TN 37207","$975,000 ","$1,221,119 ","$733,620 ","73,362",853,OCTOBER 2022,,,,,20.80%,4.40%,25.20%,50%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-oasis.png
The Harrison,"BED: 3    BATH: 3.5    SQ FT: 2,732    YEAR BUILT: 2014",2022-09-08 16:49:32,100% FUNDED,"Address: 5776 Caney Ridge Circle, Ooltewah, TN 37363","$460,000 ","$535,856 ","$305,856 ","30,586",575,,SEEKING TENANT,"$2,895 ",JANUARY 2023,2.4% / YEAR,10.00%,2.40%,12.40%,50%,$10 ,
The Kessler,"BED: 3    BATH: 2    SQ FT: 1,286    YEAR BUILT: 2008",2022-09-08 16:49:37,100% FUNDED,"Address: 12520 Meadow Oaks Lane, Farmington, AR 72730","$257,000 ","$301,985 ","$173,485 ","17,348",338,,RENTED 🙌,"$1,595 ",JANUARY 2023,2.0% / YEAR,5.10%,2.00%,7.10%,50%,$10 ,
The Cypress,"BED: 4    BATH: 3    SQ FT: 1,905    YEAR BUILT: 2000",2022-09-08 16:49:42,100% FUNDED,"Address: 3450 Cypress Club Trail, Austell, GA 30106","$365,000 ","$428,758 ","$246,258 ","24,626",514,,SEEKING TENANT,"$2,295 ",JANUARY 2023,2.4% / YEAR,6.00%,2.40%,8.40%,50%,$10 ,
The Marietta,"BED: 4    BATH: 2.5    SQ FT: 2,158    YEAR BUILT: 2022",2022-09-08 16:49:47,100% FUNDED,"Address: 436 Marietta Lane, Greer, SC 29651","$304,225 ","$356,796 ","$204,690 ","20,469",303,,SEEKING TENANT,"$2,195 ",OCTOBER 2022,3.6% / YEAR,6.20%,3.60%,9.80%,50%,$10 ,
The Aster,"BED: 3    BATH: 2    SQ FT: 1,502    YEAR BUILT: 1997",2022-09-08 16:49:52,100% FUNDED,"Address: 490 West Aster Avenue, Farmington, AR 72730","$255,000 ","$300,706 ","$173,210 ","17,321",381,,SEEKING TENANT,"$1,695 ",OCTOBER 2022,2.4% / YEAR,5.00%,2.40%,7.40%,50%,$10 ,
The Cumberland,"BED: 3    BATH: 2    SQ FT: 1,396    YEAR BUILT: 2019",2022-09-08 16:49:58,100% FUNDED,"Address: 702 Jim Brown Drive, Clarksville, TN 37042","$295,000 ","$345,299 ","$345,300 ","34,530",545,,RENTED 🙌,"$1,695 ",OCTOBER 2022,3.2% / YEAR,7.30%,3.20%,10.50%,0%,$10 ,
The Bonneau,"BED: 3    BATH: 3    SQ FT: 2,355    YEAR BUILT: 2020",2022-09-08 16:50:03,100% FUNDED,"Address: 120 Caleb Court, Ladson, SC 29456","$336,000 ","$392,042 ","$392,050 ","39,205",690,,SEEKING TENANT,"$2,195 ",OCTOBER 2022,3.2% / YEAR,3.70%,3.20%,6.90%,0%,$10 ,
El Camino,"BED: 3    BATH: 2    SQ FT: 1,540    YEAR BUILT: 2017",2022-09-08 16:50:08,100% FUNDED,"Address: 326 32nd Place East, Tuscaloosa, AL 35405","$265,000 ","$310,309 ","$310,310 ","31,031",592,,RENTED 🙌,"$1,595 ",OCTOBER 2022,3.6% / YEAR,0.60%,3.60%,4.20%,0%,$10 ,
The Highland,"BED: 4    BATH: 2.5    SQ FT: 1,926    YEAR BUILT: 2022",2022-09-08 16:50:12,100% FUNDED,"Address: 139 Highland Park Court, Easley, SC 29642","$272,973 ","$324,312 ","$324,310 ","32,431",480,,SEEKING TENANT,"$1,995 ",OCTOBER 2022,3.6% / YEAR,6.80%,3.60%,10.40%,0%,$10 ,
The Reginald,"BED: 5    BATH: 4    SQ FT: 4,020    YEAR BUILT: 2008",2022-09-08 16:50:16,100% FUNDED,"Address: 1201 Ithaca Drive, McDonough, GA 30253","$435,000 ","$503,856 ","$503,860 ","50,386",1012,,SEEKING TENANT,"$2,595 ",OCTOBER 2022,3.6% / YEAR,3.40%,3.60%,7.00%,0%,$10 ,
